Type,Title,Description,Priority,Estimate,Epic,Status,Acceptance Criteria
Epic,Authentication & Account Management,Automated testing for user registration login password reset and 2FA,High,,,Backlog,
Story,Patient Registration,"As a new patient I want to register for a portal account so that I can access my health information online",High,5,Authentication & Account Management,Backlog,"- User can register with email phone and basic info| - Email verification works| - Password security requirements enforced| - Welcome email sent| - HIPAA compliance notice accepted"
Story,Patient Login,"As a registered patient I want to securely login to my account so that I can access my personal health information",High,5,Authentication & Account Management,Backlog,"- Login with email/password works| - Remember me checkbox works| - Session expires after 30 min inactivity| - Invalid credentials error handling| - Account lockout after 5 failed attempts| - MFA enforced if enabled"
Story,Password Reset,"As a patient who forgot their password I want to reset my password securely so that I can regain access to my account",Medium,3,Authentication & Account Management,Backlog,"- Password reset via email works| - Reset link expires after 1 hour| - New password meets requirements| - Confirmation email sent| - Old password cannot be reused| - Reset link single-use only"
Story,Two-Factor Authentication (2FA),"As a security-conscious patient I want to enable 2FA on my account so that my health information is more secure",Medium,5,Authentication & Account Management,Backlog,"- Enable 2FA via SMS or app| - QR code scanning works| - Backup codes provided| - 2FA required on login| - Can disable 2FA with password| - Backup codes can be regenerated"
Epic,Patient Profile Management,Automated testing for viewing and updating patient profile information,High,,,Backlog,
Story,View Profile Information,"As a patient I want to view my profile information so that I can verify my details are correct",High,3,Patient Profile Management,Backlog,"- View personal info (name DOB gender contact)| - View emergency contact| - View insurance info| - View medical history summary| - Sensitive data partially masked"
Story,Update Profile Information,"As a patient I want to update my profile information so that my healthcare providers have current information",High,5,Patient Profile Management,Backlog,"- Edit contact info| - Update emergency contact| - Update insurance info| - Password confirmation for sensitive fields| - Confirmation email sent| - Audit log created| - Form validation works"
Story,Upload Profile Photo,"As a patient I want to upload a profile photo so that providers can easily identify me",Low,3,Patient Profile Management,Backlog,"- Upload JPG PNG GIF files| - 5MB file size limit| - Auto resize/crop to standard dimensions| - Can remove photo| - Content moderation"
Epic,Appointment Management,Automated testing for viewing scheduling and managing appointments,High,,,Backlog,
Story,View Appointments,"As a patient I want to view my upcoming and past appointments so that I can keep track of my healthcare schedule",High,5,Appointment Management,Backlog,"- View upcoming appointments| - View past appointments| - Show provider date time location type| - Calendar view available| - Filter by date range provider type| - Virtual visit links displayed"
Story,Schedule New Appointment,"As a patient I want to schedule a new appointment online so that I don't have to call the office",High,8,Appointment Management,Backlog,"- Select appointment type| - Select preferred provider| - View available time slots| - Select date and time| - Add reason for visit| - Confirmation displayed| - Confirmation email with calendar invite sent"
Story,Cancel/Reschedule Appointment,"As a patient I want to cancel or reschedule my appointment so that I can manage schedule changes",Medium,5,Appointment Management,Backlog,"- Cancel appointment 24h+ in advance| - Provide cancellation reason| - Cancellation confirmation email| - Reschedule to another slot| - Late cancellation warning| - Cancellation policy displayed"
Story,Virtual Visit (Telehealth),"As a patient I want to join virtual appointments so that I can receive care remotely",High,8,Appointment Management,Backlog,"- Join virtual visit from appointment page| - Join button enabled 10 min before| - Video/audio permissions requested| - Test camera/mic before joining| - Waiting room if provider not joined| - Connection quality indicator| - Can end call anytime"
Epic,Medical Records Access,Automated testing for accessing and downloading medical records lab results and visit summaries,High,,,Backlog,
Story,View Lab Results,"As a patient I want to view my lab results so that I can stay informed about my health",High,5,Medical Records Access,Backlog,"- View all lab results| - Show test name date value reference range| - Out-of-range values highlighted| - Filter by date or test type| - Provider notes displayed| - Download as PDF| - New results flagged for 7 days"
Story,View Visit Summaries,"As a patient I want to view summaries of my past visits so that I can review what was discussed and decided",Medium,3,Medical Records Access,Backlog,"- View list of visit summaries| - Summary includes date provider diagnosis treatment plan| - View full visit notes| - Download as PDF| - Print summary| - Available within 24h of visit"
Story,View Medications,"As a patient I want to view my current and past medications so that I can track my prescriptions",High,5,Medical Records Access,Backlog,"- View active medications list| - View medication history| - Show name dosage frequency prescriber| - Refill status displayed| - Request refill if eligible| - View medication instructions"
Story,Download Medical Records,"As a patient I want to download my complete medical records so that I can share them with other providers",Medium,5,Medical Records Access,Backlog,"- Request full medical record download| - Includes all notes labs imaging meds| - PDF and/or CCD format| - Available within 24h| - Email notification when ready| - Link expires after 7 days| - Audit log created"
Epic,Prescriptions & Pharmacy,Automated testing for prescription refills and pharmacy management,Medium,,,Backlog,
Story,Request Prescription Refill,"As a patient I want to request prescription refills online so that I don't run out of medication",Medium,5,Prescriptions & Pharmacy,Backlog,"- View refillable prescriptions| - Select prescriptions to refill| - Select preferred pharmacy| - Add new pharmacy| - Confirmation displayed| - Notification when ready| - Sent to provider for approval"
Story,View Prescription History,"As a patient I want to view my prescription history so that I can track what medications I've taken",Low,3,Prescriptions & Pharmacy,Backlog,"- View all past prescriptions| - Show med name dosage date provider| - Filter by date or type| - View refill history| - Discontinued meds marked"
Epic,Billing & Payments,Automated testing for viewing bills making payments and setting up payment plans,High,,,Backlog,
Story,View Bills and Statements,"As a patient I want to view my medical bills and statements so that I know what I owe",High,5,Billing & Payments,Backlog,"- View all bills| - Show service date provider amount due date status| - View detailed breakdown| - Filter by date or status| - Download as PDF| - Insurance claim status displayed"
Story,Make a Payment,"As a patient I want to pay my medical bills online so that I can settle my account conveniently",High,8,Billing & Payments,Backlog,"- Pay full or partial amount| - Pay with credit/debit card| - Pay with bank account (ACH)| - Save payment methods| - Immediate confirmation| - Receipt via email| - Payment reflected in 1 business day"
Story,Set Up Payment Plan,"As a patient with a large bill I want to set up a payment plan so that I can pay over time",Medium,5,Billing & Payments,Backlog,"- Request payment plan for bills $500+| - Select duration (3 6 12 months)| - Monthly amount calculated| - Set up autopay| - Accept payment plan agreement| - Confirmation email| - Reminder before each payment"
Epic,Messaging & Communication,Automated testing for messaging with providers and viewing message history,Medium,,,Backlog,
Story,Send Message to Provider,"As a patient I want to send non-urgent messages to my healthcare provider so that I can ask questions without calling",Medium,5,Messaging & Communication,Backlog,"- Compose new message to provider| - Select provider from care team| - Select message category| - Attach files/images (10MB max)| - 2000 character limit| - Confirmation sent| - Notified when provider responds| - Response time expectation displayed"
Story,View Message History,"As a patient I want to view my message history with providers so that I can reference past conversations",Low,3,Messaging & Communication,Backlog,"- View sent and received messages| - Organized by conversation thread| - Search by keyword| - Filter by provider or date| - Unread messages highlighted| - Timestamps included| - Download attachments"
Epic,Forms & Documents,Automated testing for completing pre-visit forms and signing consent documents,Medium,,,Backlog,
Story,Complete Pre-Visit Forms,"As a patient with an upcoming appointment I want to complete forms before my visit so that I can save time at the office",Medium,8,Forms & Documents,Backlog,"- Notified of required forms| - Complete forms online| - Forms include history symptoms meds| - Progress auto-saved| - Review and edit before submit| - E-signature captured| - Confirmation displayed| - Provider receives form"
Story,Sign Consent Forms,"As a patient I want to review and sign consent forms electronically so that I can provide informed consent conveniently",Medium,5,Forms & Documents,Backlog,"- View consent forms from provider| - Full text displayed before signing| - Download for review| - E-signature captured| - Stored in patient record| - Copy via email| - Audit trail maintained"
Epic,Insurance & Coverage,Automated testing for viewing and updating insurance information,Medium,,,Backlog,
Story,View Insurance Information,"As a patient I want to view my insurance information so that I can verify coverage details",Medium,3,Insurance & Coverage,Backlog,"- View primary insurance details| - View secondary insurance if applicable| - Insurance card images displayed| - Coverage includes group number member ID copay| - Verify provider network status| - Insurance verification status shown"
Story,Update Insurance Information,"As a patient with new insurance I want to update my insurance information so that claims are processed correctly",Medium,5,Insurance & Coverage,Backlog,"- Add new insurance plan| - Upload insurance card images| - Edit insurance details| - Set primary vs secondary| - Remove old insurance| - Verified by staff before activation| - Confirmation when processed"
Epic,Mobile App Features,Automated testing for mobile app installation login and push notifications,Medium,,,Backlog,
Story,Mobile App Installation & Login,"As a patient I want to use the patient portal on my mobile device so that I can manage my healthcare on the go",Medium,5,Mobile App Features,Backlog,"- Available on iOS and Android| - Download from App Store/Play Store| - Same credentials as web| - Biometric login available| - Push notifications enabled by default| - Real-time sync with web"
Story,Push Notifications,"As a patient using the mobile app I want to receive push notifications so that I'm alerted to important updates",Medium,5,Mobile App Features,Backlog,"- Notifications for new messages| - Notifications for appointment reminders| - Notifications for lab results| - Notifications for refill status| - Customize notification preferences| - Deep link to relevant section| - Respect Do Not Disturb"
Epic,Accessibility & Compliance,Automated testing for WCAG compliance and HIPAA security requirements,High,,,Backlog,
Story,WCAG 2.1 AA Compliance,"As a patient with disabilities I want to use the portal with assistive technologies so that I can access my healthcare information independently",High,8,Accessibility & Compliance,Backlog,"- Pass WCAG 2.1 AA standards| - Screen reader navigation works| - Proper form labels| - Color contrast meets requirements| - Keyboard navigation throughout| - Alt text for images| - ARIA labels implemented"
Story,HIPAA Compliance,"As a healthcare organization I want to ensure the portal is HIPAA compliant so that patient data is protected",High,8,Accessibility & Compliance,Backlog,"- Data encrypted in transit (TLS 1.2+)| - PHI encrypted at rest| - Audit logs for all access| - 30 min session timeout| - Failed login attempts logged| - BAAs in place| - Privacy policy displayed and accepted"

